"ID","START_DATE","END_DATE","BUDGET_YEAR","URL"
"1","2018-09-30",,"2018","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/5b43e2c5-0630-40ec-b568-70f4709202e7/download/agor-2018-09-30-with-2018-19-budget-data.csv"
"2","2018-07-01","2018-09-29","2018","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/6199fb97-ff81-470a-9546-0826c97f2bab/download/agor-2018-07-01-with-2018-19-budget-data.csv"
"3","2018-03-31","2018-06-30","2018","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/e52c42a3-ed7b-42c2-a118-6f4c8db75ac4/download/agor-2018-03-31-with-2018-19-budget-data.csv"
"4","2017-12-31","2018-03-30","2018","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/f9100326-018e-4f89-bcc0-1c99cf25fb6b/download/agor-2017-12-31-with-2018-19-budget-data.csv"
"5","2017-12-31","2018-03-30","2017","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/1024e7b1-08db-4e73-8516-0112e1f35a09/download/agor-2017-12-31-with-2017-18-budget-data.csv"
"6","2017-09-30","2017-12-30","2017","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/97e8df11-4e9c-4321-97f5-4ce20f96e65c/download/agor-2017-09-30-with-2017-18-budget-data.csv"
"7","2017-05-17","2017-09-29","2017","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/34b8854e-d4b0-48b9-b986-6ac89fccb2e6/download/agor-2017-05-17.csv"
"8","2017-02-03","2017-05-16","2016","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/ee7e3659-8761-4172-9313-fb2a77e383b5/download/agor-2017-02-03.csv"
"9","2016-09-12","2017-02-02","2016","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/3d727ba1-4acc-41c3-8fe8-6b412fb9c6b5/download/agor-2016-09-12-with-2016-17-budget-data.csv"
"10","2015-11-30","2016-09-11","2015","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/fcc83784-1e38-45a1-b61e-aa63d54ee45e/download/agor-2015-11-30-with-2015-16-budget-data.csv"
"11","2015-10-23","2015-11-29","2015","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/fc2dc09c-16af-41b7-8a98-58decc1e9129/download/agor-2015-10-23-with-2015-16-budget-data.csv"
"12","2015-07-01","2015-10-22","2015","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/4daaaaf0-b02d-4896-923f-c7bf7c6be13d/download/agor-2015-07-01-with-2015-16-budget-data.csv"
"13","2015-05-18","2015-06-30","2015","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/854be11a-5d3a-4df7-a7d1-4ec32124f0ee/download/agor-2015-05-18-with-2015-16-budget-data.csv"
"14","2015-04-24","2015-05-17","2014","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/55db8e2c-dff7-435b-932c-4b8e9225de81/download/agor-2015-04-24-with-2014-15-paes-data.csv"
"15","2015-02-16","2015-04-23","2014","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/55c3a891-30e0-43a6-9d80-5def4506f43d/download/agor-2015-02-16-with-2014-15-paes-data.csv"
"16","2014-12-11","2015-02-15","2014","https://data.gov.au/dataset/c77cface-69aa-4dd0-b99f-b065dc33c8e6/resource/27124ee1-17ad-44c3-abf2-ec256aa62d76/download/agor-2014-12-11-with-2014-15-budget-data.csv"
